Instrument,Low_Limit,High_Limit,Active
TT2420,0,30,False
TT2422,0,30,False
TT2424,0,30,False
TT2425,0,30,False
TT2442,0,30,False
TT2403,0,30,False
TT2418,0,30,False
TT2427,0,30,False
TT2429,0,30,False
TT2431,0,30,False
TT2441,0,30,False
TT2414,0,30,False
TT2413,0,30,False
TT2412,0,30,False
TT2415,0,30,False
TT2409,0,30,False
TT2436,0,30,False
TT2438,0,30,False
TT2440,0,30,False
TT2402,0,30,False
TT2411,0,30,False
TT2443,0,30,False
TT2417,0,30,False
TT2404,0,30,False
TT2408,0,30,False
TT2407,0,30,False
TT2406,0,30,False
TT2428,0,30,False
TT2432,0,30,False
TT2421,0,30,False
TT2416,0,30,False
TT2439,0,30,False
TT2419,0,30,False
TT2423,0,30,False
TT2426,0,30,False
TT2430,0,30,False
TT2450,0,30,False
TT2401,0,30,False
TT2449,0,30,False
TT2445,0,30,False
TT2444,0,30,False
TT2435,0,30,False
TT2437,0,30,False
TT2446,0,30,False
TT2447,0,30,False
TT2448,0,30,False
TT2410,0,30,False
TT2405,0,30,False
TT6220,0,30,False
TT6401,0,30,False
TT6404,0,30,False
TT6405,0,30,False
TT6406,0,30,False
TT6410,0,30,False
TT6411,0,30,False
TT6412,0,30,False
TT6413,0,30,False
TT6414,0,30,False
TT2101,0,30,False
TT2111,0,30,False
TT2113,0,30,False
TT2118,0,30,False
TT2119,0,30,False
TT4330,0,30,False
TT6203,0,30,False
TT6207,0,30,False
TT6211,0,30,False
TT6213,0,30,False
TT6222,0,30,False
TT6407,0,30,False
TT6408,0,30,False
TT6409,0,30,False
TT6415,0,30,False
TT6416,0,30,False
PT1325,0,300,False
PT2121,0,300,False
PT2316,0,300,False
PT2330,0,300,False
PT2335,0,300,False
PT3308,0,300,False
PT3309,0,300,False
PT3311,0,300,False
PT3314,0,300,False
PT3320,0,300,False
PT3332,0,300,False
PT3333,0,300,False
PT4306,0,300,False
PT4315,0,300,False
PT4319,0,300,False
PT4322,0,300,False
PT4325,0,300,False
PT6302,0,300,False
PT1101,0,300,False
PT5304,0,300,False
BFM4313,0,0,False
LT3335,0,0,False
MFC1316_IN,0,0,False
CYL3334_FCALC,0,0,False
SERVO3321_IN_REAL,0,0,False
TS1_MASS,0,0,False
TS2_MASS,0,0,False
TS3_MASS,0,0,False
SERVO3321,0,0,False
HTR6225,0,0,False
HTR2123,0,0,False
HTR2124,0,0,False
HTR2125,0,0,False
HTR1202,0,0,False
HTR2203,0,0,False
HTR6202,0,0,False
HTR6206,0,0,False
HTR6210,0,0,False
HTR6223,0,0,False
HTR6224,0,0,False
HTR6219,0,0,False
HTR6221,0,0,False
HTR6214,0,0,False
LS3338,False,True,False
LS3339,False,True,False
ES3347,False,True,False
PUMP3305_CON,False,True,False
PUMP3305_OL,False,True,False
PS2352,False,True,False
PS1361,False,True,False
PS8302,False,True,False
